,Movie_Name,Director1,Director2,Director3,Duration,year,Ratings,Metascore,Sno
1319,Jurassic Park III,Joe Johnston,N/A,N/A,92 min,2001,5.9,42,1320
1320,Into the Blue,John Stockwell,N/A,N/A,110 min,2005,5.9,45,1321
1321,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,N/A,N/A,112 min,2016,5.9,40,1322
1322,The Wandering Earth,Frant Gwo,N/A,N/A,125 min,2019,5.9,57,1323
1323,London Has Fallen,Babak Najafi,N/A,N/A,99 min,2016,5.9,28,1324
1324,The Brothers Grimm,Terry Gilliam,N/A,N/A,118 min,2005,5.9,51,1325
1325,Six Days Seven Nights,Ivan Reitman,N/A,N/A,102 min,1998,5.9,51,1326
1326,The One,James Wong,N/A,N/A,87 min,2001,5.9,25,1327
1327,The Rookie,Clint Eastwood,N/A,N/A,120 min,1990,5.9,41,1328
1328,Timecop,Peter Hyams,N/A,N/A,99 min,1994,5.9,48,1329
1329,Iron Sky,Timo Vuorensola,N/A,N/A,93 min,2012,5.9,N/A,1330
1330,Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,N/A,N/A,105 min,2012,5.9,42,1331
1331,Braven,Lin Oeding,N/A,N/A,94 min,2018,5.9,61,1332
1332,Doomsday,Neil Marshall,N/A,N/A,105 min,2008,5.9,51,1333
1333,The Black Hole,Gary Nelson,N/A,N/A,98 min,1979,5.9,52,1334
1334,Star Wars: The Clone Wars,Dave Filoni,N/A,N/A,98 min,2008,5.9,35,1335
1335,The Legend of Zorro,Martin Campbell,N/A,N/A,129 min,2005,5.9,47,1336
1336,Keeping Up with the Joneses,Greg Mottola,N/A,N/A,105 min,2016,5.9,34,1337
1337,The 6th Day,Roger Spottiswoode,N/A,N/A,123 min,2000,5.9,49,1338
1338,Firefox,Clint Eastwood,N/A,N/A,136 min,1982,5.9,44,1339
1339,Daylight,Rob Cohen,N/A,N/A,114 min,1996,5.9,47,1340
1340,The Golden Child,Michael Ritchie,N/A,N/A,94 min,1986,5.9,37,1341
1341,Kidnap,Luis Prieto,N/A,N/A,95 min,2017,5.9,44,1342
1342,Sanctum,Alister Grierson,N/A,N/A,108 min,2011,5.9,42,1343
1343,Another 48 Hrs,Walter Hill,N/A,N/A,95 min,1990,5.9,23,1344
1344,Vertical Limit,Martin Campbell,N/A,N/A,124 min,2000,5.9,48,1345
1345,Domino,Tony Scott,N/A,N/A,127 min,2005,5.9,36,1346
1346,The Fan,Tony Scott,N/A,N/A,116 min,1996,5.9,32,1347
1347,Red Tails,Anthony Hemingway,N/A,N/A,125 min,2012,5.9,46,1348
1348,Ride Along 2,Tim Story,N/A,N/A,102 min,2016,5.9,32,1349
1349,Gone,Heitor Dhalia,N/A,N/A,94 min,2012,5.9,36,1350
1350,Passenger 57,Kevin Hooks,N/A,N/A,84 min,1992,5.9,50,1351
1351,3000 Miles to Graceland,Demian Lichtenstein,N/A,N/A,125 min,2001,5.9,21,1352
1352,Undercover Brother,Malcolm D. Lee,N/A,N/A,86 min,2002,5.9,69,1353
1353,Fatman,Eshom Nelms,Ian Nelms,N/A,100 min,2020,5.9,40,1354
1354,Fortress,Stuart Gordon,N/A,N/A,95 min,1992,5.9,48,1355
1355,Men at Work,Emilio Estevez,N/A,N/A,98 min,1990,5.9,34,1356
1356,Hard Rain,Mikael Salomon,N/A,N/A,97 min,1998,5.9,36,1357
1357,The Double,Michael Brandt,N/A,N/A,98 min,2011,5.9,37,1358
1358,Tiger Lives,Mehmet Tutkun,Ali Abbas Zafar,Musa Muhammed Olayinka,161 min,2017,5.9,N/A,1359
1359,Ghosted,Dexter Fletcher,N/A,N/A,116 min,2023,5.8,34,1360
1360,The School for Good and Evil,Paul Feig,N/A,N/A,147 min,2022,5.8,30,1361
1361,2012,Roland Emmerich,N/A,N/A,158 min,2009,5.8,49,1362
1362,Battleship,Peter Berg,N/A,N/A,131 min,2012,5.8,41,1363
1363,Army of the Dead,Zack Snyder,N/A,N/A,148 min,2021,5.8,57,1364
1364,Mortal Kombat,Paul W.S. Anderson,N/A,N/A,101 min,1995,5.8,60,1365
1365,Oldboy,Spike Lee,N/A,N/A,104 min,2013,5.8,49,1366
1366,Clash of the Titans,Louis Leterrier,N/A,N/A,106 min,2010,5.8,39,1367
1367,Teenage Mutant Ninja Turtles,Jonathan Liebesman,N/A,N/A,101 min,2014,5.8,31,1368
1368,xXx,Rob Cohen,N/A,N/A,124 min,2002,5.8,48,1369
1369,The Man from Toronto,Patrick Hughes,N/A,N/A,110 min,2022,5.8,34,1370
1370,Species,Roger Donaldson,N/A,N/A,108 min,1995,5.8,49,1371
1371,Cobra,George P. Cosmatos,N/A,N/A,87 min,1986,5.8,25,1372
1372,Blade: Trinity,David S. Goyer,N/A,N/A,113 min,2004,5.8,38,1373
1373,Noah,Darren Aronofsky,N/A,N/A,138 min,2014,5.8,68,1374
1374,Troll,Roar Uthaug,N/A,N/A,101 min,2022,5.8,62,1375
1375,Hollow Man,Paul Verhoeven,N/A,N/A,112 min,2000,5.8,24,1376
1376,Haywire,Steven Soderbergh,N/A,N/A,93 min,2011,5.8,67,1377
1377,The League of Extraordinary Gentlemen,Stephen Norrington,N/A,N/A,110 min,2003,5.8,30,1378
1378,Journey to the Center of the Earth,Eric Brevig,N/A,N/A,93 min,2008,5.8,57,1379
1379,Cirque du Freak: The Vampire's Assistant,Paul Weitz,N/A,N/A,109 min,2009,5.8,43,1380
1380,End of Days,Peter Hyams,N/A,N/A,122 min,1999,5.8,33,1381
1381,Without Remorse,Stefano Sollima,N/A,N/A,109 min,2021,5.8,41,1382
1382,Lake Placid,Steve Miner,N/A,N/A,82 min,1999,5.8,34,1383
1383,RoboCop 2,Irvin Kershner,N/A,N/A,117 min,1990,5.8,42,1384
1384,The Host,Andrew Niccol,N/A,N/A,125 min,2013,5.8,35,1385
1385,The Mortal Instruments: City of Bones,Harald Zwart,N/A,N/A,130 min,2013,5.8,33,1386
1386,Extinction,Ben Young,N/A,N/A,95 min,2018,5.8,40,1387
1387,Pride and Prejudice and Zombies,Burr Steers,N/A,N/A,108 min,2016,5.8,45,1388
1388,Wild Hogs,Walt Becker,N/A,N/A,100 min,2007,5.8,27,1389
1389,Over the Top,Menahem Golan,N/A,N/A,93 min,1987,5.8,40,1390
1390,Morgan,Luke Scott,N/A,N/A,92 min,2016,5.8,48,1391
1391,Rambo III,Peter MacDonald,N/A,N/A,102 min,1988,5.8,36,1392
1392,Into the Storm,Steven Quale,N/A,N/A,89 min,2014,5.8,44,1393
1393,Resident Evil: Afterlife,Paul W.S. Anderson,N/A,N/A,96 min,2010,5.8,37,1394
1394,Skyscraper,Rawson Marshall Thurber,N/A,N/A,102 min,2018,5.8,51,1395
1395,Straw Dogs,Rod Lurie,N/A,N/A,110 min,2011,5.8,45,1396
1396,1941,Steven Spielberg,N/A,N/A,118 min,1979,5.8,34,1397
1397,Around the World in 80 Days,Frank Coraci,N/A,N/A,120 min,2004,5.8,49,1398
1398,Sudden Death,Peter Hyams,N/A,N/A,111 min,1995,5.8,N/A,1399
1399,The Green Hornet,Michel Gondry,N/A,N/A,119 min,2011,5.8,39,1400
1400,Striking Distance,Rowdy Herrington,N/A,N/A,102 min,1993,5.8,36,1401
1401,The Gunman,Pierre Morel,N/A,N/A,115 min,2015,5.8,39,1402
1402,Reindeer Games,John Frankenheimer,N/A,N/A,104 min,2000,5.8,37,1403
1403,Hard to Kill,Bruce Malmuth,N/A,N/A,96 min,1990,5.8,41,1404
1404,Bulletproof,Ernest R. Dickerson,N/A,N/A,84 min,1996,5.8,30,1405
1405,Air America,Roger Spottiswoode,N/A,N/A,113 min,1990,5.8,33,1406
1406,Cradle 2 the Grave,Andrzej Bartkowiak,N/A,N/A,101 min,2003,5.8,36,1407
1407,Firewall,Richard Loncraine,N/A,N/A,105 min,2006,5.8,45,1408
1408,Taxi 3,Gérard Krawczyk,N/A,N/A,84 min,2003,5.8,N/A,1409
1409,Samrat Prithviraj,Chandra Prakash Dwivedi,N/A,N/A,135 min,2022,5.8,N/A,1410
1410,The Three Musketeers,Paul W.S. Anderson,N/A,N/A,110 min,2011,5.7,35,1411
1411,Murder Mystery 2,Jeremy Garelick,N/A,N/A,90 min,2023,5.7,44,1412
1412,The Matrix Resurrections,Lana Wachowski,N/A,N/A,148 min,2021,5.7,63,1413
1413,Escape Room: Tournament of Champions,Adam Robitel,N/A,N/A,88 min,2021,5.7,48,1414
1414,G.I,Jon M. Chu,N/A,N/A,110 min,2013,5.7,41,1415
1415,Mulan,Niki Caro,N/A,N/A,115 min,2020,5.7,66,1416
1416,Memory,Martin Campbell,N/A,N/A,114 min,2022,5.7,41,1417
1417,Mechanic: Resurrection,Dennis Gansel,N/A,N/A,98 min,2016,5.7,38,1418
1418,G.I,Stephen Sommers,N/A,N/A,118 min,2009,5.7,32,1419
1419,Planet of the Apes,Tim Burton,N/A,N/A,119 min,2001,5.7,50,1420
1420,X-Men: Dark Phoenix,Simon Kinberg,N/A,N/A,113 min,2019,5.7,43,1421
1421,Samaritan,Julius Avery,N/A,N/A,102 min,2022,5.7,45,1422
1422,Fantastic Four,Tim Story,N/A,N/A,106 min,2005,5.7,40,1423
1423,Bloodshot,Dave Wilson,N/A,N/A,109 min,2020,5.7,44,1424
1424,Freddy vs,Ronny Yu,N/A,N/A,97 min,2003,5.7,37,1425
1425,Underworld: Blood Wars,Anna Foerster,N/A,N/A,91 min,2016,5.7,23,1426
1426,Allegiant,Robert Schwentke,N/A,N/A,120 min,2016,5.7,33,1427
1427,Journey 2: The Mysterious Island,Brad Peyton,N/A,N/A,94 min,2012,5.7,41,1428
1428,Chaos Walking,Doug Liman,N/A,N/A,109 min,2021,5.7,38,1429
1429,Buffy the Vampire Slayer,Fran Rubel Kuzui,N/A,N/A,86 min,1992,5.7,48,1430
1430,Pan,Joe Wright,N/A,N/A,111 min,2015,5.7,36,1431
1431,Hitman: Agent 47,Aleksander Bach,N/A,N/A,96 min,2015,5.7,28,1432
1432,Only God Forgives,Nicolas Winding Refn,N/A,N/A,90 min,2013,5.7,37,1433
1433,Lara Croft: Tomb Raider,Simon West,N/A,N/A,100 min,2001,5.7,33,1434
1434,Wrath of the Titans,Jonathan Liebesman,N/A,N/A,99 min,2012,5.7,37,1435
1435,Fool's Gold,Andy Tennant,N/A,N/A,112 min,2008,5.7,29,1436
1436,Battle Los Angeles,Jonathan Liebesman,N/A,N/A,116 min,2011,5.7,37,1437
1437,Crocodile Dundee II,John Cornell,N/A,N/A,108 min,1988,5.7,41,1438
1438,Gamer,Mark Neveldine,Brian Taylor,N/A,95 min,2009,5.7,27,1439
1439,The Darkest Minds,Jennifer Yuh Nelson,N/A,N/A,104 min,2018,5.7,39,1440
1440,Escape from L.A,John Carpenter,N/A,N/A,101 min,1996,5.7,54,1441
1441,Poseidon,Wolfgang Petersen,N/A,N/A,98 min,2006,5.7,50,1442
1442,The Do-Over,Steven Brill,N/A,N/A,108 min,2016,5.7,22,1443
1443,Sabotage,David Ayer,N/A,N/A,109 min,2014,5.7,41,1444
1444,Gemini Man,Ang Lee,N/A,N/A,117 min,2019,5.7,38,1445
1445,Cutthroat Island,Renny Harlin,N/A,N/A,124 min,1995,5.7,37,1446
1446,Cooties,Jonathan Milott,Cary Murnion,N/A,88 min,2014,5.7,49,1447
1447,Priest,Scott Stewart,N/A,N/A,87 min,2011,5.7,41,1448
1448,Bullet to the Head,Walter Hill,N/A,N/A,92 min,2012,5.7,48,1449
1449,Mighty Joe Young,Ron Underwood,N/A,N/A,114 min,1998,5.7,51,1450
1450,Race to Witch Mountain,Andy Fickman,N/A,N/A,98 min,2009,5.7,52,1451
1451,Hudson Hawk,Michael Lehmann,N/A,N/A,100 min,1991,5.7,17,1452
1452,Beckett,Ferdinando Cito Filomarino,N/A,N/A,110 min,2021,5.7,52,1453
1453,Close,Vicky Jewson,N/A,N/A,94 min,2019,5.7,51,1454
1454,Ben-Hur,Timur Bekmambetov,N/A,N/A,123 min,2016,5.7,38,1455
1455,Drillbit Taylor,Steven Brill,N/A,N/A,110 min,2008,5.7,41,1456
1456,Red Planet,Antony Hoffman,N/A,N/A,106 min,2000,5.7,34,1457
1457,Money Train,Joseph Ruben,N/A,N/A,110 min,1995,5.7,N/A,1458
1458,Nowhere to Run,Robert Harmon,N/A,N/A,94 min,1993,5.7,41,1459
1459,Bandidas,Joachim Rønning,Espen Sandberg,N/A,93 min,2006,5.7,N/A,1460
1460,The Art of War,Christian Duguay,N/A,N/A,117 min,2000,5.7,30,1461
1461,Armored,Nimród Antal,N/A,N/A,88 min,2009,5.7,50,1462
1462,The Mother,Niki Caro,N/A,N/A,115 min,2023,5.6,45,1463
1463,The Meg,Jon Turteltaub,N/A,N/A,113 min,2018,5.6,46,1464
1464,Jurassic World: Dominion,Colin Trevorrow,N/A,N/A,147 min,2022,5.6,38,1465
1465,Strange World,Don Hall,Qui Nguyen,N/A,102 min,2022,5.6,65,1466
1466,Transformers: Age of Extinction,Michael Bay,N/A,N/A,165 min,2014,5.6,32,1467
1467,Beast,Baltasar Kormákur,N/A,N/A,93 min,2022,5.6,54,1468
1468,R.I.P.D,Robert Schwentke,N/A,N/A,96 min,2013,5.6,25,1469
1469,Men in Black: International,F. Gary Gray,N/A,N/A,114 min,2019,5.6,38,1470
1470,Last Seen Alive,Brian Goodman,N/A,N/A,95 min,2022,5.6,N/A,1471
1471,Charlie's Angels,McG,N/A,N/A,98 min,2000,5.6,52,1472
1472,Pixels,Chris Columbus,N/A,N/A,105 min,2015,5.6,27,1473
1473,The Pacifier,Adam Shankman,N/A,N/A,95 min,2005,5.6,30,1474
1474,Spy Kids,Robert Rodriguez,N/A,N/A,88 min,2001,5.6,71,1475
