,Movie_Name,Director1,Director2,Director3,Duration,year,Ratings,Metascore,Sno
1548,Gunjan Saxena: The Kargil Girl,ALi Khan AK,Sharan Sharma,N/A,112 min,2020,5.5,N/A,1549
1549,65,Scott Beck,Bryan Woods,N/A,93 min,2023,5.4,40,1550
1550,Gods of Egypt,Alex Proyas,N/A,N/A,127 min,2016,5.4,25,1551
1551,The Forever Purge,Everardo Gout,N/A,N/A,103 min,2021,5.4,53,1552
1552,Shotgun Wedding,Jason Moore,N/A,N/A,101 min,2022,5.4,46,1553
1553,Wonder Woman 1984,Patty Jenkins,N/A,N/A,151 min,2020,5.4,60,1554
1554,Spiderhead,Joseph Kosinski,N/A,N/A,106 min,2022,5.4,54,1555
1555,The Mummy,Alex Kurtzman,N/A,N/A,110 min,2017,5.4,34,1556
1556,Batman Forever,Joel Schumacher,N/A,N/A,121 min,1995,5.4,51,1557
1557,Infinite,Antoine Fuqua,N/A,N/A,106 min,2021,5.4,28,1558
1558,Ava,Tate Taylor,N/A,N/A,96 min,2020,5.4,39,1559
1559,Godzilla,Roland Emmerich,N/A,N/A,139 min,1998,5.4,32,1560
1560,Big Game,Jalmari Helander,N/A,N/A,110 min,2014,5.4,53,1561
1561,Snake Eyes,Robert Schwentke,N/A,N/A,121 min,2021,5.4,43,1562
1562,Drive Angry,Patrick Lussier,N/A,N/A,104 min,2011,5.4,44,1563
1563,Maximum Overdrive,Stephen King,N/A,N/A,98 min,1986,5.4,24,1564
1564,Æon Flux,Karyn Kusama,N/A,N/A,93 min,2005,5.4,36,1565
1565,"Game Over, Man!",Kyle Newacheck,N/A,N/A,101 min,2018,5.4,32,1566
1566,Vampire Academy,Mark Waters,N/A,N/A,104 min,2014,5.4,31,1567
1567,Blackhat,Michael Mann,N/A,N/A,133 min,2015,5.4,51,1568
1568,Killers,Robert Luketic,N/A,N/A,100 min,2010,5.4,21,1569
1569,The Happytime Murders,Brian Henson,N/A,N/A,91 min,2018,5.4,27,1570
1570,The Last Legion,Doug Lefler,N/A,N/A,101 min,2007,5.4,37,1571
1571,Season of the Witch,Dominic Sena,N/A,N/A,95 min,2011,5.4,28,1572
1572,Outside the Wire,Mikael Håfström,N/A,N/A,114 min,2021,5.4,45,1573
1573,The Man with the Iron Fists,RZA,N/A,N/A,95 min,2012,5.4,51,1574
1574,D3: The Mighty Ducks,Robert Lieberman,N/A,N/A,104 min,1996,5.4,N/A,1575
1575,The Spy Next Door,Brian Levant,N/A,N/A,94 min,2010,5.4,27,1576
1576,The Tuxedo,Kevin Donovan,N/A,N/A,98 min,2002,5.4,30,1577
1577,Pathfinder,Marcus Nispel,N/A,N/A,99 min,2007,5.4,29,1578
1578,Battle for the Planet of the Apes,J. Lee Thompson,N/A,N/A,93 min,1973,5.4,40,1579
1579,Bulletproof Monk,Paul Hunter,N/A,N/A,104 min,2003,5.4,40,1580
1580,I Spy,Betty Thomas,N/A,N/A,97 min,2002,5.4,35,1581
1581,Killing Season,Mark Steven Johnson,N/A,N/A,91 min,2013,5.4,25,1582
1582,Dhoom 3,Vijay Krishna Acharya,N/A,N/A,172 min,2013,5.4,61,1583
1583,The Predator,Shane Black,N/A,N/A,107 min,2018,5.3,48,1584
1584,Masters of the Universe,Gary Goddard,N/A,N/A,106 min,1987,5.3,35,1585
1585,Ghost Rider,Mark Steven Johnson,N/A,N/A,110 min,2007,5.3,35,1586
1586,Point Break,Ericson Core,N/A,N/A,114 min,2015,5.3,34,1587
1587,Jupiter Ascending,Lana Wachowski,Lilly Wachowski,N/A,127 min,2015,5.3,40,1588
1588,Geostorm,Dean Devlin,N/A,N/A,109 min,2017,5.3,21,1589
1589,Tank Girl,Rachel Talalay,N/A,N/A,104 min,1995,5.3,46,1590
1590,The New Mutants,Josh Boone,N/A,N/A,94 min,2020,5.3,43,1591
1591,Daredevil,Mark Steven Johnson,N/A,N/A,103 min,2003,5.3,42,1592
1592,Robin Hood,Otto Bathurst,N/A,N/A,116 min,2018,5.3,32,1593
1593,Max Payne,John Moore,N/A,N/A,100 min,2008,5.3,31,1594
1594,Congo,Frank Marshall,N/A,N/A,109 min,1995,5.3,22,1595
1595,Resident Evil: Retribution,Paul W.S. Anderson,N/A,N/A,95 min,2012,5.3,39,1596
1596,Spy Hard,Rick Friedberg,N/A,N/A,81 min,1996,5.3,25,1597
1597,The Karate Kid Part III,John G. Avildsen,N/A,N/A,112 min,1989,5.3,36,1598
1598,Red Dawn,Dan Bradley,N/A,N/A,93 min,2012,5.3,31,1599
1599,Spy Kids 2: Island of Lost Dreams,Robert Rodriguez,N/A,N/A,100 min,2002,5.3,66,1600
1600,Land of the Lost,Brad Silberling,N/A,N/A,102 min,2009,5.3,32,1601
1601,One for the Money,Julie Anne Robinson,N/A,N/A,91 min,2012,5.3,22,1602
1602,The Colony,Jeff Renfroe,N/A,N/A,95 min,2013,5.3,28,1603
1603,Bangkok Dangerous,Danny Pang,Oxide Chun Pang,N/A,99 min,2008,5.3,24,1604
1604,Hollywood Homicide,Ron Shelton,N/A,N/A,116 min,2003,5.3,47,1605
1605,Universal Soldier: Regeneration,John Hyams,N/A,N/A,97 min,2009,5.3,70,1606
1606,The Way to Paradise,Enzo Zelocchi,N/A,N/A,85 min,2011,5.3,N/A,1607
1607,F9: The Fast Saga,Justin Lin,N/A,N/A,143 min,2021,5.2,58,1608
1608,Transformers: The Last Knight,Michael Bay,N/A,N/A,154 min,2017,5.2,27,1609
1609,Morbius,Daniel Espinosa,N/A,N/A,104 min,2022,5.2,35,1610
1610,The Covenant,Renny Harlin,N/A,N/A,97 min,2006,5.2,19,1611
1611,Resident Evil: Welcome to Raccoon City,Johannes Roberts,N/A,N/A,107 min,2021,5.2,44,1612
1612,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,N/A,N/A,112 min,2008,5.2,31,1613
1613,xXx: Return of Xander Cage,D.J. Caruso,N/A,N/A,107 min,2017,5.2,42,1614
1614,Legion,Scott Stewart,N/A,N/A,100 min,2010,5.2,32,1615
1615,Hellboy,Neil Marshall,N/A,N/A,120 min,2019,5.2,31,1616
1616,Spawn,Mark A.Z. Dippé,N/A,N/A,96 min,1997,5.2,34,1617
1617,Monster Hunter,Paul W.S. Anderson,N/A,N/A,103 min,2020,5.2,47,1618
1618,Independence Day: Resurgence,Roland Emmerich,N/A,N/A,120 min,2016,5.2,32,1619
1619,The Bad Batch,Ana Lily Amirpour,N/A,N/A,118 min,2016,5.2,62,1620
1620,The 5th Wave,J Blakeson,N/A,N/A,112 min,2016,5.2,33,1621
1621,Mighty Morphin Power Rangers,Bryan Spicer,N/A,N/A,95 min,1995,5.2,40,1622
1622,The Transporter Refueled,Camille Delamarre,N/A,N/A,96 min,2015,5.2,32,1623
1623,Doom,Andrzej Bartkowiak,N/A,N/A,105 min,2005,5.2,34,1624
1624,Lost in Space,Stephen Hopkins,N/A,N/A,130 min,1998,5.2,42,1625
1625,Big Momma's House,Raja Gosnell,N/A,N/A,99 min,2000,5.2,33,1626
1626,A Good Day to Die Hard,John Moore,N/A,N/A,98 min,2013,5.2,28,1627
1627,The First Purge,Gerard McMurray,N/A,N/A,97 min,2018,5.2,54,1628
1628,Paul Blart: Mall Cop,Steve Carr,N/A,N/A,91 min,2009,5.2,39,1629
1629,The Medallion,Gordon Chan,N/A,N/A,88 min,2003,5.2,38,1630
1630,Mutant Chronicles,Simon Hunter,N/A,N/A,111 min,2008,5.2,N/A,1631
1631,Beast,Nelson Dilipkumar,N/A,N/A,155 min,2022,5.2,N/A,1632
1632,Bachchhan Paandey,Farhad Samji,N/A,N/A,147 min,2022,5.2,N/A,1633
1633,Moonfall,Roland Emmerich,N/A,N/A,130 min,2022,5.1,41,1634
1634,Conan the Barbarian,Marcus Nispel,N/A,N/A,113 min,2011,5.1,36,1635
1635,Red Sonja,Richard Fleischer,N/A,N/A,89 min,1985,5.1,35,1636
1636,"I, Frankenstein",Stuart Beattie,N/A,N/A,92 min,2014,5.1,30,1637
1637,Eragon,Stefen Fangmeier,N/A,N/A,104 min,2006,5.1,38,1638
1638,"10,000 BC",Roland Emmerich,N/A,N/A,109 min,2008,5.1,34,1639
1639,Miss Congeniality 2: Armed & Fabulous,John Pasquin,N/A,N/A,115 min,2005,5.1,34,1640
1640,Agent Cody Banks,Harald Zwart,N/A,N/A,102 min,2003,5.1,41,1641
1641,G-Force,Hoyt Yeatman,N/A,N/A,88 min,2009,5.1,41,1642
1642,Stealth,Rob Cohen,N/A,N/A,121 min,2005,5.1,35,1643
1643,Abduction,John Singleton,N/A,N/A,106 min,2011,5.1,25,1644
1644,Cats & Dogs,Lawrence Guterman,N/A,N/A,87 min,2001,5.1,47,1645
1645,Hot Pursuit,Anne Fletcher,N/A,N/A,87 min,2015,5.1,31,1646
1646,Get Carter,Stephen Kay,N/A,N/A,102 min,2000,5.1,24,1647
1647,Stormbreaker,Geoffrey Sax,N/A,N/A,93 min,2006,5.1,42,1648
1648,Alex Cross,Rob Cohen,N/A,N/A,101 min,2012,5.1,30,1649
1649,Charlie's Angels,Elizabeth Banks,N/A,N/A,118 min,2019,5.0,52,1650
1650,The Twilight Saga: Eclipse,David Slade,N/A,N/A,124 min,2010,5.0,58,1651
1651,How It Ends,David M. Rosenthal,N/A,N/A,113 min,2018,5.0,36,1652
1652,Superman III,Richard Lester,N/A,N/A,125 min,1983,5.0,44,1653
1653,Cyborg,Albert Pyun,N/A,N/A,86 min,1989,5.0,24,1654
1654,Shadow in the Cloud,Roseanne Liang,N/A,N/A,83 min,2020,5.0,66,1655
1655,See No Evil,Gregory Dark,N/A,N/A,84 min,2006,5.0,17,1656
1656,The Phantom,Simon Wincer,N/A,N/A,100 min,1996,5.0,53,1657
1657,Virus,John Bruno,N/A,N/A,99 min,1999,5.0,19,1658
1658,Dilwale,Rohit Shetty,N/A,N/A,158 min,2015,5.0,N/A,1659
1659,The Darkest Hour,Chris Gorak,N/A,N/A,89 min,2011,4.9,18,1660
1660,Charlie's Angels: Full Throttle,McG,N/A,N/A,106 min,2003,4.9,48,1661
1661,Wild Wild West,Barry Sonnenfeld,N/A,N/A,106 min,1999,4.9,38,1662
1662,The Cold Light of Day,Mabrouk El Mechri,N/A,N/A,93 min,2012,4.9,22,1663
1663,Dracula 2000,Patrick Lussier,N/A,N/A,99 min,2000,4.9,26,1664
1664,Ghosts of Mars,John Carpenter,N/A,N/A,98 min,2001,4.9,35,1665
1665,Blues Brothers 2000,John Landis,N/A,N/A,123 min,1998,4.9,N/A,1666
1666,Happy New Year,Farah Khan,N/A,N/A,180 min,2014,4.9,N/A,1667
1667,Anaconda,Luis Llosa,N/A,N/A,89 min,1997,4.8,37,1668
1668,The Ridiculous 6,Frank Coraci,N/A,N/A,119 min,2015,4.8,18,1669
1669,After Earth,M. Night Shyamalan,N/A,N/A,100 min,2013,4.8,33,1670
1670,DOA: Dead or Alive,Corey Yuen,N/A,N/A,87 min,2006,4.8,38,1671
1671,Crocodile Dundee in Los Angeles,Simon Wincer,N/A,N/A,95 min,2001,4.8,37,1672
1672,Tekken,Dwight H. Little,N/A,N/A,92 min,2010,4.8,N/A,1673
1673,Teenage Mutant Ninja Turtles III,Stuart Gillard,N/A,N/A,96 min,1993,4.8,40,1674
1674,Double Team,Hark Tsui,N/A,N/A,93 min,1997,4.8,44,1675
1675,Godsend,Frank M. Calo,Nick Hamm,N/A,102 min,2004,4.8,24,1676
1676,Howard the Duck,Willard Huyck,N/A,N/A,110 min,1986,4.7,28,1677
1677,Zoolander 2,Ben Stiller,N/A,N/A,101 min,2016,4.7,34,1678
1678,Elektra,Rob Bowman,N/A,N/A,97 min,2005,4.7,34,1679
1679,The Spirit,Frank Miller,N/A,N/A,103 min,2008,4.7,30,1680
1680,The Marine,John Bonito,N/A,N/A,92 min,2006,4.7,45,1681
1681,Jonah Hex,Jimmy Hayward,N/A,N/A,81 min,2010,4.7,33,1682
1682,Anacondas: The Hunt for the Blood Orchid,Dwight H. Little,N/A,N/A,97 min,2004,4.7,40,1683
1683,Ra.One,Anubhav Sinha,N/A,N/A,156 min,2011,4.7,60,1684
1684,Shamshera,Karan Malhotra,N/A,N/A,178 min,2022,4.7,N/A,1685
1685,Bharat,Ali Abbas Zafar,N/A,N/A,150 min,2019,4.7,N/A,1686
1686,Bodyguard,Siddique,N/A,N/A,130 min,2011,4.7,41,1687
1687,Interceptor,Matthew Reilly,N/A,N/A,99 min,2022,4.6,51,1688
1688,Superhero Movie,Craig Mazin,N/A,N/A,75 min,2008,4.6,33,1689
1689,Aliens vs,Colin Strause,Greg Strause,N/A,94 min,2007,4.6,29,1690
1690,Shehzada,Rohit Dhawan,N/A,N/A,142 min,2023,4.6,N/A,1691
1691,Driven,Renny Harlin,N/A,N/A,116 min,2001,4.6,29,1692
1692,Snatched,Jonathan Levine,N/A,N/A,90 min,2017,4.6,45,1693
1693,Thunder Force,Ben Falcone,N/A,N/A,106 min,2021,4.5,34,1694
1694,Taxi,Tim Story,N/A,N/A,97 min,2004,4.5,27,1695
1695,Home Alone 3,Raja Gosnell,N/A,N/A,102 min,1997,4.5,N/A,1696
1696,Species II,Peter Medak,N/A,N/A,93 min,1998,4.5,19,1697
1697,xXx: State of the Union,Lee Tamahori,N/A,N/A,101 min,2005,4.5,37,1698
1698,Kangaroo Jack,David McNally,N/A,N/A,89 min,2003,4.5,16,1699
1699,Skyline,Colin Strause,Greg Strause,N/A,92 min,2010,4.5,26,1700
1700,The Next Karate Kid,Christopher Cain,N/A,N/A,107 min,1994,4.5,36,1701
1701,Jason X,James Isaac,N/A,N/A,92 min,2001,4.4,25,1702
1702,Cell,Tod Williams,N/A,N/A,98 min,2016,4.4,38,1703
1703,"Big Mommas: Like Father, Like Son",John Whitesell,N/A,N/A,107 min,2011,4.4,22,1704
1704,Paul Blart: Mall Cop 2,Andy Fickman,N/A,N/A,94 min,2015,4.4,13,1705
1705,Fantastic Four,Josh Trank,N/A,N/A,100 min,2015,4.3,27,1706
1706,Spy Kids 3: Game Over,Robert Rodriguez,N/A,N/A,84 min,2003,4.3,57,1707
1707,Ghost Rider: Spirit of Vengeance,Mark Neveldine,Brian Taylor,N/A,96 min,2011,4.3,34,1708
1708,Ultraviolet,Kurt Wimmer,N/A,N/A,88 min,2006,4.3,18,1709
1709,Stop! Or My Mom Will Shoot,Roger Spottiswoode,N/A,N/A,87 min,1992,4.3,N/A,1710
1710,Inspector Gadget,David Kellogg,N/A,N/A,78 min,1999,4.2,36,1711
1711,Highlander II: The Quickening,Russell Mulcahy,N/A,N/A,91 min,1991,4.2,31,1712
1712,The Legend of Hercules,Renny Harlin,N/A,N/A,99 min,2014,4.2,22,1713
1713,Universal Soldier: The Return,Mic Rodgers,N/A,N/A,83 min,1999,4.2,24,1714
1714,Coolie No,David Dhawan,N/A,N/A,134 min,2020,4.2,N/A,1715
1715,Torque,Joseph Kahn,N/A,N/A,84 min,2004,4.1,41,1716
1716,RoboCop 3,Fred Dekker,N/A,N/A,104 min,1993,4.1,40,1717
1717,Street Fighter,Steven E. de Souza,N/A,N/A,102 min,1994,4.0,34,1718
1718,The Last Airbender,M. Night Shyamalan,N/A,N/A,103 min,2010,4.0,20,1719
1719,Shark Night,David R. Ellis,N/A,N/A,90 min,2011,4.0,22,1720
1720,Speed 2: Cruise Control,Jan de Bont,N/A,N/A,121 min,1997,3.9,23,1721
1721,In the Name of the King: A Dungeon Siege Tale,Uwe Boll,N/A,N/A,127 min,2007,3.8,15,1722
1722,Escape Plan 2: Hades,Steven C. Miller,N/A,N/A,96 min,2018,3.8,N/A,1723
1723,The Avengers,Jeremiah S. Chechik,N/A,N/A,89 min,1998,3.8,12,1724
1724,The Adventures of Pluto Nash,Ron Underwood,N/A,N/A,95 min,2002,3.8,12,1725
1725,Batman & Robin,Joel Schumacher,N/A,N/A,125 min,1997,3.7,28,1726
1726,The Adventures of Sharkboy and Lavagirl 3-D,Robert Rodriguez,N/A,N/A,93 min,2005,3.7,38,1727
1727,Superman IV: The Quest for Peace,Sidney J. Furie,N/A,N/A,90 min,1987,3.7,24,1728
1728,Dungeons & Dragons,Courtney Solomon,N/A,N/A,107 min,2000,3.6,14,1729
1729,Mortal Kombat: Annihilation,John R. Leonetti,N/A,N/A,95 min,1997,3.6,11,1730
1730,Crimea,Aleksey Pimanov,N/A,N/A,99 min,2017,3.6,N/A,1731
1731,Barb Wire,David Hogan,N/A,N/A,98 min,1996,3.5,40,1732
1732,Spy Kids 4: All the Time in the World,Robert Rodriguez,N/A,N/A,89 min,2011,3.5,37,1733
1733,Catwoman,Pitof,N/A,N/A,104 min,2004,3.4,27,1734
1734,Left Behind,Vic Armstrong,N/A,N/A,110 min,2014,3.1,12,1735
1735,Rollerball,John McTiernan,N/A,N/A,98 min,2002,3.1,14,1736
1736,BloodRayne,Uwe Boll,N/A,N/A,95 min,2005,2.9,18,1737
1737,Liger,Puri Jagannadh,N/A,N/A,140 min,2022,2.7,N/A,1738
1738,Gunday,Ali Abbas Zafar,N/A,N/A,152 min,2014,2.7,N/A,1739
1739,Dragonball Evolution,James Wong,N/A,N/A,85 min,2009,2.5,45,1740
1740,Battlefield Earth,Roger Christian,N/A,N/A,118 min,2000,2.5,9,1741
1741,Heropanti 2,Ahmed Khan,N/A,N/A,145 min,2022,2.5,N/A,1742
1742,Laxmii,Raghava Lawrence,Balakrishnan Thevar,N/A,141 min,2020,2.5,N/A,1743
1743,Alone in the Dark,Uwe Boll,N/A,N/A,96 min,2005,2.4,9,1744
1744,The Prototype,Marcelo Grion,N/A,N/A,97 min,2022,2.4,N/A,1745
1745,House of the Dead,Uwe Boll,N/A,N/A,90 min,2003,2.1,15,1746
1746,Radhe,Prabhu Deva,N/A,N/A,109 min,2021,1.9,N/A,1747
1747,Race 3,Remo D'Souza,N/A,N/A,160 min,2018,1.9,N/A,1748
1748,Angels Apocalypse,Sean Cain,Enzo Zelocchi,N/A,85 min,2015,1.7,N/A,1749
1749,The Cost of Deception,Keith English,N/A,N/A,125 min,2021,1.5,N/A,1750
1750,Sadak 2,Mahesh Bhatt,N/A,N/A,133 min,2020,1.2,N/A,1751
