,Movie_Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
593,Death Wish,Charles Bronson,Hope Lange,Vincent Gardenia,Steven Keats,"41,294",Action,Drama,Drama,22000000,"3,365",R
594,The Edge,Anthony Hopkins,Alec Baldwin,Elle Macpherson,Harold Perrineau,"76,204",Action,Drama,Drama,43312294,"3,483",R
595,Non-Stop,Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,"269,654",Action,Thriller,Thriller,222809600,"3,839",PG-13
596,The Last Castle,Robert Redford,James Gandolfini,Mark Ruffalo,Steve Burton,"82,904",Action,Thriller,Thriller,27642707,"4,206",R
597,The Guardian,Kevin Costner,Ashton Kutcher,Sela Ward,Melissa Sagemiller,"95,393",Action,Drama,Drama,94973540,"4,305",PG-13
598,Westworld,Yul Brynner,Richard Benjamin,James Brolin,Norman Bartold,"60,655",Action,Thriller,Thriller,N/A,"4,455",PG
599,The Night Comes for Us,Iko Uwais,Joe Taslim,Julie Estelle,Hannah Al Rashid,"27,724",Action,Thriller,Thriller,N/A,"4,685",TV-MA
600,Repo Man,Harry Dean Stanton,Emilio Estevez,Tracey Walter,Olivia Barash,"39,064",Action,Crime,Crime,129000,N/A,R
601,The Monster Squad,Andre Gower,Robby Kiger,Stephen Macht,Duncan Regehr,"33,678",Action,Fantasy,Fantasy,3769990,N/A,PG-13
602,Free State of Jones,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Keri Russell,"59,723",Action,Drama,Drama,25035950,N/A,R
603,Legend of the Guardians: The Owls of Ga'Hoole,Jim Sturgess,Hugo Weaving,David Wenham,Emily Barclay,"85,258",Animation,Adventure,Adventure,140073390,N/A,PG
604,Get the Gringo,Mel Gibson,Kevin Balmore,Daniel Giménez Cacho,Jesús Ochoa,"109,806",Action,Thriller,Thriller,8826837,N/A,R
605,Muppet Treasure Island,Tim Curry,Billy Connolly,Jennifer Saunders,Kevin Bishop,"25,306",Action,Comedy,Comedy,34327391,N/A,G
606,All Is Lost,Robert Redford,N/A,N/A,N/A,"82,032",Action,Drama,Drama,13627519,N/A,PG-13
607,Memphis Belle,Matthew Modine,Eric Stoltz,Tate Donovan,D.B. Sweeney,"29,430",Action,War,War,27441977,N/A,PG-13
608,Slow West,Kodi Smit-McPhee,Caren Pistorius,Aorere Paki,Jeffrey Thomas,"46,641",Action,Drama,Drama,1295574,N/A,R
609,The Big Boss,Bruce Lee,Maria Yi,James Tien,Marilyn Bautista,"28,172",Action,Drama,Drama,N/A,N/A,R
610,New Police Story,Jackie Chan,Nicholas Tse,Charlie Yeung,Daniel Wu,"28,049",Action,Thriller,Thriller,8712057,N/A,R
611,Agneepath,Hrithik Roshan,Priyanka Chopra Jonas,Sanjay Dutt,Rishi Kapoor,"25,539",Action,Drama,Drama,26001696,N/A,Not Rated
