,Movie_Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
0,Spider-Man: Across the Spider-Verse,Shameik Moore,Hailee Steinfeld,Oscar Isaac,Jake Johnson,"29,474",Animation,Adventure,Adventure,69100000,23,PG
1,The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,"2,719,284",Action,Drama,Drama,1006234167,117,PG-13
2,The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,"1,887,739",Action,Drama,Drama,1147633833,407,PG-13
3,Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,"2,413,938",Action,Sci-Fi,Sci-Fi,870110523,103,PG-13
4,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"1,916,363",Action,Drama,Drama,898204420,184,PG-13
5,The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,"1,703,851",Action,Drama,Drama,947944270,788,PG-13
6,The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,"1,958,520",Action,N/A,N/A,467222728,201,R
7,Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,321,553",Action,Fantasy,Fantasy,538375067,603,PG
8,Soorarai Pottru,Suriya,Paresh Rawal,Aparna Balamurali,Urvashi,"119,526",Action,N/A,N/A,N/A,N/A,TV-MA
9,Star Wars: Episode IV - A New Hope,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,"1,394,011",Action,Fantasy,Fantasy,775398007,245,PG
10,Terminator 2: Judgment Day,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,"1,123,411",Action,N/A,N/A,520881154,473,R
11,Seven Samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,"352,930",Action,N/A,N/A,346258,"1,508",Not Rated
12,Harakiri,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,"61,021",Action,Mystery,Mystery,15222,"3,285",Not Rated
13,Sita Ramam,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,"59,972",Action,Mystery,Mystery,2208029,N/A,U
14,Léon: The Professional,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,"1,189,772",Action,Drama,Drama,19569225,204,R
15,Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,"1,536,661",Action,Drama,Drama,503162313,227,R
16,Spider-Man: Into the Spider-Verse,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,"568,783",Animation,Adventure,Adventure,384256930,86,PG
17,Avengers: Endgame,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,"1,180,738",Action,Drama,Drama,2799439100,120,PG-13
18,Indiana Jones and the Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,"986,794",Action,N/A,N/A,389925971,157,PG
19,Avengers: Infinity War,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,"1,124,055",Action,Sci-Fi,Sci-Fi,2052415039,248,PG-13
20,Oldboy,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,"596,589",Action,Mystery,Mystery,15421226,314,R
21,The Dark Knight Rises,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,"1,742,148",Action,Thriller,Thriller,1081169825,429,PG-13
22,Aliens,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,"732,724",Action,Sci-Fi,Sci-Fi,131060248,509,R
23,Kaithi,Karthi,Narain,Arjun Das,George Maryan,"36,136",Action,Crime,Crime,522938,"4,804",Not Rated
24,Asuran,Dhanush,Manju Warrier,Prakash Raj,Pasupathy,"31,205",Action,N/A,N/A,379728,N/A,Not Rated
25,Top Gun: Maverick,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,"590,615",Action,N/A,N/A,1493491858,50,PG-13
26,Heat,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,"676,618",Action,Drama,Drama,187436818,57,R
27,Star Wars: Episode VI - Return of the Jedi,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,077,942",Action,Fantasy,Fantasy,475106177,410,PG
28,Princess Mononoke,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,"406,909",Animation,Adventure,Adventure,169971552,"1,446",PG-13
29,North by Northwest,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,"334,689",Action,Mystery,Mystery,144767,"1,801",Approved
30,Kantara,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar,Sapthami Gowda,"95,521",Action,Drama,Drama,2406221,"3,575",Not Rated
31,Dangal,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,"197,392",Action,Drama,Drama,303723636,"4,102",Not Rated
32,K.G.F: Chapter 2,Yash,Sanjay Dutt,Raveena Tandon,Srinidhi Shetty,"139,674",Action,Drama,Drama,89123940,N/A,Not Rated
33,Vikram,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,Narain,"63,874",Action,Thriller,Thriller,29837637,N/A,UA
34,Raatchasan,Vishnu Vishal,Amala Paul,Radha Ravi,Sangili Murugan,"46,967",Action,Drama,Drama,N/A,N/A,Not Rated
35,Shershaah,Sidharth Malhotra,Kiara Advani,Shiv Panditt,Pranay Pachauri,"124,822",Action,Drama,Drama,N/A,N/A,TV-14
36,Guardians of the Galaxy Vol,Chris Pratt,Chukwudi Iwuji,Bradley Cooper,Pom Klementieff,"154,127",Action,Comedy,Comedy,752966359,3,PG-13
37,Spider-Man: No Way Home,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,"797,755",Action,Fantasy,Fantasy,1921847111,110,PG-13
38,Jurassic Park,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,"1,014,203",Action,Sci-Fi,Sci-Fi,1109802321,161,PG-13
39,Indiana Jones and the Last Crusade,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,"771,417",Action,N/A,N/A,474171806,361,PG-13
40,1917,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,"621,380",Action,War,War,384577421,428,R
41,Kill Bill: Vol,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,"1,141,077",Action,Drama,Drama,180906076,565,R
42,Batman Begins,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,"1,503,701",Action,Drama,Drama,373672993,571,PG-13
43,Die Hard,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,"901,516",Action,N/A,N/A,141603197,833,R
44,V for Vendetta,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,"1,141,050",Action,Sci-Fi,Sci-Fi,134686457,"1,127",R
45,Demon Slayer the Movie: Mugen Train,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono,"64,436",Animation,Adventure,Adventure,453210959,"2,043",R
46,Ran,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,"129,200",Action,War,War,4164283,"2,733",R
47,Gangs of Wasseypur,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,Richa Chadha,"99,380",Action,Crime,Crime,4384642,"4,011",Not Rated
48,Vikram Vedha,Madhavan,Vijay Sethupathi,Shraddha Srinath,Kathir,"47,695",Action,Drama,Drama,546792,"4,499",Not Rated
49,Baahubali 2: The Conclusion,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,"106,756",Action,N/A,N/A,254158390,"4,642",Not Rated
50,Yojimbo,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,"125,905",Action,Thriller,Thriller,46808,N/A,Not Rated
51,Uri: The Surgical Strike,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,"67,396",Action,History,History,39346577,N/A,Not Rated
52,K.G.F: Chapter 1,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,"91,628",Action,Drama,Drama,6421597,N/A,Not Rated
53,Sherlock Jr,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,"52,475",Action,Romance,Romance,N/A,N/A,Passed
54,Rangasthalam 1985,Ram Charan,Samantha Ruth Prabhu,Aadhi,Jagapathi Babu,"26,156",Action,N/A,N/A,551820,N/A,Not Rated
55,The Mountain II,Caglar Ertugrul,Ufuk Bayraktar,Ahu Türkpençe,Murat Serezli,"109,187",Action,War,War,11378898,N/A,N/A
56,Paan Singh Tomar,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,"37,047",Action,Crime,Crime,40311,N/A,Not Rated
57,Mad Max: Fury Road,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,"1,030,527",Action,Sci-Fi,Sci-Fi,415261382,135,R
58,Ford v Ferrari,Matt Damon,Christian Bale,Jon Bernthal,Caitríona Balfe,"419,147",Action,Drama,Drama,225508210,209,PG-13
59,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,"1,153,987",Action,Fantasy,Fantasy,654264015,321,PG-13
60,Blade Runner,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,"788,153",Action,Sci-Fi,Sci-Fi,41722424,331,R
61,The Terminator,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,"885,664",Action,N/A,N/A,78371200,449,R
62,Logan,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,"787,811",Action,Sci-Fi,Sci-Fi,619179950,692,R
63,"Lock, Stock and Two Smoking Barrels",Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,"595,397",Action,Crime,Crime,3753929,894,R
64,How to Train Your Dragon,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Craig Ferguson,"761,572",Animation,Adventure,Adventure,494879471,"1,192",PG
65,Warrior,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,"481,934",Action,Sport,Sport,23308615,"1,210",PG-13
66,Rush,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,"491,237",Action,Drama,Drama,96983009,"1,334",R
67,The Iron Giant,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,"209,224",Animation,Adventure,Adventure,23335817,"1,839",PG
68,Neon Genesis Evangelion: The End of Evangelion,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,Kotono Mitsuishi,"58,593",Animation,Drama,Drama,42214,"4,622",TV-MA
69,Sholay,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,"57,083",Action,Comedy,Comedy,N/A,N/A,Not Rated
70,Bajrangi Bhaijaan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,"91,952",Action,Comedy,Comedy,121126188,N/A,Not Rated
71,The General,Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,"93,907",Action,Comedy,Comedy,N/A,N/A,Passed
72,The Hidden Fortress,Toshirô Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara,"40,464",Action,Drama,Drama,46808,N/A,Not Rated
73,White Heat,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,"34,290",Action,Drama,Drama,5534,N/A,Not Rated
74,A Wednesday,Anupam Kher,Naseeruddin Shah,Veerendra Saxena,Mahesh Kanual,"80,228",Action,Drama,Drama,3256911,N/A,Not Rated
75,Major,Adivi Sesh,Prakash Raj,Revathi,Saiee Manjrekar,"30,475",Action,Drama,Drama,4961424,N/A,UA
76,Sarfarosh,Aamir Khan,Naseeruddin Shah,Sonali Bendre,Mukesh Rishi,"26,232",Action,Thriller,Thriller,288733,N/A,Not Rated
77,Hera Pheri,Akshay Kumar,Suniel Shetty,Paresh Rawal,Tabu,"69,438",Action,Crime,Crime,N/A,N/A,Not Rated
78,Kaththi,Joseph Vijay,Samantha Ruth Prabhu,Neil Nitin Mukesh,Tota Roy Chowdhury,"28,335",Action,N/A,N/A,674359,N/A,Not Rated
79,Thuppakki,Joseph Vijay,Kajal Aggarwal,Vidyut Jammwal,Sathyan,"35,920",Action,N/A,N/A,2075056,N/A,Not Rated
80,John Wick: Chapter 4,Keanu Reeves,Laurence Fishburne,George Georgiou,Lance Reddick,"187,403",Action,Thriller,Thriller,431980622,5,R
81,Guardians of the Galaxy,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,"1,218,955",Action,Comedy,Comedy,773350147,44,PG-13
82,Dune,Timothée Chalamet,Rebecca Ferguson,Zendaya,Oscar Isaac,"679,096",Action,Drama,Drama,402027830,66,PG-13
83,Blade Runner 2049,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,"604,161",Action,Mystery,Mystery,267770708,173,R
84,Deadpool,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,"1,068,332",Action,N/A,N/A,782836791,326,R
85,The Avengers,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,"1,416,370",Action,N/A,N/A,1520538536,433,PG-13
86,The Incredibles,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,"761,796",Animation,Adventure,Adventure,631607053,697,PG
87,Casino Royale,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,"671,094",Action,Thriller,Thriller,616505162,716,PG-13
88,The Revenant,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,"828,108",Action,Drama,Drama,532950503,721,R
89,Akira,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,"193,723",Animation,Drama,Drama,3252698,873,R
90,Kill Bill: Vol,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,"774,176",Action,Thriller,Thriller,154117157,"1,753",R
91,Ip Man,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka-Tung Lam,"228,462",Action,Drama,Drama,22108789,"2,109",R
92,The Bourne Ultimatum,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,"644,231",Action,Thriller,Thriller,444100035,"2,468",PG-13
93,Baahubali: The Beginning,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,"130,002",Action,N/A,N/A,24548038,"2,744",Not Rated
94,Infernal Affairs,Andy Lau,Tony Leung Chiu-wai,Anthony Chau-Sang Wong,Eric Tsang,"127,677",Action,Drama,Drama,8836958,"4,437",R
95,Wolfwalkers,Honor Kneafsey,Eva Whittaker,Sean Bean,Simon McBurney,"35,186",Animation,Adventure,Adventure,1310720,"4,643",PG
96,Elite Squad,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,"106,748",Action,Drama,Drama,14759148,N/A,R
97,Haider,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,"56,097",Action,Drama,Drama,1404307,N/A,Not Rated
98,Sanjuro,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,"39,450",Action,Thriller,Thriller,55528,N/A,Not Rated
99,Elite Squad 2: The Enemy Within,Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz,"84,739",Action,Drama,Drama,63618850,N/A,Not Rated
100,Tae Guk Gi: The Brotherhood of War,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,"40,369",Action,War,War,76287982,N/A,R
101,Andaz Apna Apna,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,"54,211",Action,Romance,Romance,N/A,N/A,Not Rated
102,Karthikeya 2,Nikhil Siddharth,Anupama Parameswaran,Srinivasa Reddy,Harsha Chemudu,"63,233",Action,Fantasy,Fantasy,2440029,N/A,UA
103,Arjun Reddy,Vijay Deverakonda,Shalini Pandey,Jia Sharma,Kanchana,"26,295",Action,Romance,Romance,145522,N/A,Not Rated
104,1: Nenokkadine,Mahesh Babu,Kriti Sanon,Nassar,Pradeep Singh Rawat,"45,896",Action,N/A,N/A,N/A,N/A,Not Rated
105,The Breath,Mete Horozoglu,Ilker Kizmaz,Baris Bagci,Özgür Eren Koç,"34,394",Action,Thriller,Thriller,15291338,N/A,N/A
106,Thor: Ragnarok,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,"776,476",Action,Comedy,Comedy,855301806,167,PG-13
107,Avatar,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,"1,342,422",Action,Fantasy,Fantasy,2923706026,275,PG-13
108,Iron Man,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,"1,082,769",Action,Sci-Fi,Sci-Fi,585796247,456,PG-13
109,Zack Snyder's Justice League,Henry Cavill,Ben Affleck,Gal Gadot,Amy Adams,"412,915",Action,Fantasy,Fantasy,N/A,465,R
110,Star Trek,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,"610,426",Action,Sci-Fi,Sci-Fi,385680446,500,PG-13
111,Edge of Tomorrow,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,"699,440",Action,Sci-Fi,Sci-Fi,370541256,685,PG-13
112,Children of Men,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,"511,751",Action,Sci-Fi,Sci-Fi,70595464,"1,226",R
113,X-Men: Days of Future Past,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,"725,190",Action,Sci-Fi,Sci-Fi,746045700,"1,308",PG-13
114,District 9,Sharlto Copley,David James,Jason Cope,Nathalie Boltt,"695,140",Action,Thriller,Thriller,210888950,"1,387",R
115,The Bourne Identity,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,"558,926",Action,Thriller,Thriller,214034224,"1,433",PG-13
116,The Blues Brothers,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,"205,919",Action,Comedy,Comedy,115229890,"1,464",R
117,"Crouching Tiger, Hidden Dragon",Chow Yun-Fat,Michelle Yeoh,Ziyi Zhang,Chang Chen,"275,696",Action,Drama,Drama,213977285,"1,927",PG-13
118,Ghost in the Shell,Atsuko Tanaka,Iemasa Kayumi,Akio Ôtsuka,Kôichi Yamadera,"148,542",Animation,Crime,Crime,918738,"2,503",TV-MA
119,A Fistful of Dollars,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,"223,480",Action,Western,Western,14516248,"2,804",R
120,The Raid 2,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,"127,156",Action,Thriller,Thriller,6566916,"3,255",R
121,The Wild Bunch,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,"87,432",Action,Drama,Drama,638641,"3,342",R
122,Hero,Jet Li,Tony Leung Chiu-wai,Maggie Cheung,Ziyi Zhang,"184,454",Action,Drama,Drama,177395557,"3,533",PG-13
123,Letters from Iwo Jima,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryo Kase,"166,291",Action,Drama,Drama,68673228,"3,949",R
124,A Taxi Driver,Song Kang-ho,Thomas Kretschmann,Hae-Jin Yoo,Ryu Jun-Yeol,"27,433",Action,History,History,86252940,N/A,Not Rated
125,The Adventures of Robin Hood,Errol Flynn,Olivia de Havilland,Basil Rathbone,Claude Rains,"52,825",Action,Romance,Romance,N/A,N/A,PG
126,Baby,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,"58,819",Action,Thriller,Thriller,11533057,N/A,Not Rated
127,Airlift,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,"57,853",Action,History,History,9323484,N/A,Not Rated
128,Vishwaroopam,Pooja Kumar,Miles Anderson,Kamal Haasan,Rahul Bose,"40,553",Action,N/A,N/A,791040,N/A,Not Rated
129,Everything Everywhere All at Once,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan,"449,701",Action,Comedy,Comedy,141045415,56,R
130,The Batman,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Colin Farrell,"700,625",Action,Drama,Drama,770962583,104,PG-13
131,RRR,N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn,Alia Bhatt,"150,453",Action,N/A,N/A,166611197,144,Not Rated
132,The Gentlemen,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,"360,760",Action,Crime,Crime,115171795,221,R
133,All Quiet on the Western Front,Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus,"206,007",Action,War,War,N/A,224,R
134,Drive,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,"664,789",Action,N/A,N/A,78714970,369,R
135,Rogue One: A Star Wars Story,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,"658,061",Action,Sci-Fi,Sci-Fi,1058682142,390,PG-13
136,Star Wars: Episode VII - The Force Awakens,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,"947,573",Action,Sci-Fi,Sci-Fi,2071310218,455,PG-13
137,Apocalypto,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,"320,225",Action,Drama,Drama,120673227,524,R
138,Dunkirk,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,"682,663",Action,History,History,527016307,595,PG-13
139,Ghostbusters,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,"425,842",Action,Fantasy,Fantasy,296578797,712,PG
140,Predator,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,"434,601",Action,Horror,Horror,98268458,935,R
141,Hot Fuzz,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,"517,280",Action,Mystery,Mystery,80743363,964,R
142,Captain America: Civil War,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,"812,044",Action,N/A,N/A,1155046416,991,PG-13
143,Taken,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,"614,867",Action,Thriller,Thriller,226837760,"1,018",PG-13
144,Skyfall,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,"709,940",Action,Thriller,Thriller,1142471295,"1,073",PG-13
145,Captain America: The Winter Soldier,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,"866,986",Action,Sci-Fi,Sci-Fi,714421503,"1,160",PG-13
146,The Fugitive,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,"304,713",Action,Drama,Drama,368875760,"1,284",PG-13
147,Big Hero 6,Ryan Potter,Scott Adsit,Jamie Chung,T.J. Miller,"476,796",Animation,Adventure,Adventure,657869686,"1,351",PG
148,Captain Phillips,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,"473,478",Action,Crime,Crime,218791811,"1,454",PG-13
149,I Saw the Devil,Lee Byung-hun,Choi Min-sik,Jeon Gook-hwan,Ho-jin Chun,"137,191",Action,Drama,Drama,12966357,"1,462",Not Rated
150,The Last Samurai,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,"452,236",Action,N/A,N/A,454627263,"1,526",R
151,Serenity,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,"300,333",Action,Sci-Fi,Sci-Fi,40445129,"1,686",PG-13
152,Thirteen Lives,Viggo Mortensen,Colin Farrell,Joel Edgerton,Tom Bateman,"60,728",Action,Biography,Biography,N/A,"1,869",PG-13
153,The Fighter,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,"377,100",Action,Drama,Drama,129190869,"1,870",R
154,How to Train Your Dragon 2,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,"347,736",Animation,Adventure,Adventure,621537519,"2,936",PG
155,The Chaser,Kim Yoon-seok,Ha Jung-woo,Yeong-hie Seo,Kim Yoo-jeong,"69,210",Action,Drama,Drama,36495748,N/A,Not Rated
156,"Aguirre, the Wrath of God",Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,"59,138",Action,Biography,Biography,37041,N/A,Not Rated
157,Ninja Scroll,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,"38,886",Animation,Adventure,Adventure,1073,N/A,Not Rated
158,Batman: Mask of the Phantasm,Kevin Conroy,Dana Delany,Hart Bochner,Stacy Keach,"53,533",Animation,Adventure,Adventure,5635204,N/A,PG
159,The Killer,Chow Yun-Fat,Danny Lee,Sally Yeh,Kong Chu,"49,593",Action,Drama,Drama,2340425,N/A,R
160,Cowboy Bebop: The Movie,Beau Billingslea,Melissa Fahn,Nicholas Guest,Kôichi Yamadera,"50,680",Animation,Crime,Crime,3007903,N/A,TV-14
161,Knockin' on Heaven's Door,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu,"32,098",Action,Comedy,Comedy,214139,N/A,Not Rated
162,Minnal Murali,Tovino Thomas,Guru Somasundaram,Aju Varghese,Baiju,"31,096",Action,Drama,Drama,N/A,N/A,TV-14
163,Avatar: The Way of Water,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,"387,048",Action,Fantasy,Fantasy,2320250281,48,PG-13
164,Kingsman: The Secret Service,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,"686,811",Action,Comedy,Comedy,414351546,189,R
165,Star Trek Into Darkness,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,"489,413",Action,Sci-Fi,Sci-Fi,467365246,284,PG-13
166,Mission: Impossible - Fallout,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,"345,107",Action,Thriller,Thriller,791657398,302,PG-13
167,Black Hawk Down,Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana,"407,399",Action,History,History,172989651,371,R
168,The Count of Monte Cristo,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,"142,725",Action,Drama,Drama,75395048,824,PG-13
169,3:10 to Yuma,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,"320,385",Action,Drama,Drama,70016220,837,R
170,The Last of the Mohicans,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,"177,643",Action,Drama,Drama,75505856,932,R
171,The Lego Movie,Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,"369,407",Animation,Adventure,Adventure,468266122,"1,095",PG
172,X-Men: First Class,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,"704,964",Action,N/A,N/A,352616690,"1,181",PG-13
173,Training Day,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,"450,382",Action,Drama,Drama,104876233,"1,191",R
174,The Dirty Dozen,Lee Marvin,Ernest Borgnine,Charles Bronson,John Cassavetes,"76,122",Action,War,War,N/A,"1,274",Approved
175,Man on Fire,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,"372,117",Action,Drama,Drama,130834852,"1,481",R
176,First Blood,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney,"262,393",Action,Thriller,Thriller,125212904,"1,693",R
177,The Magnificent Seven,Yul Brynner,Steve McQueen,Charles Bronson,Eli Wallach,"98,305",Action,Drama,Drama,N/A,"1,747",Approved
178,Kung Fu Hustle,Stephen Chow,Wah Yuen,Qiu Yuen,Siu-Lung Leung,"144,565",Action,Fantasy,Fantasy,104882445,"1,880",R
179,The Boondock Saints,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,"243,482",Action,N/A,N/A,30471,"1,986",R
180,Goldfinger,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton,"195,734",Action,Thriller,Thriller,51165511,"2,065",PG
181,The Longest Day,John Wayne,Robert Ryan,Richard Burton,Henry Fonda,"57,447",Action,History,History,N/A,"2,201",G
